"Band","Genre","Location","Years active"
"Chainsaw Dissection","Death Metal/Grindcore/Noise","New Alexandria, Pennsylvania","2002-2004 (as Dog Mulch), 2004-Present"
"Chainsaw Harakiri","Cybergrind/Brutal Death Metal","Denver, Colorado","2013-2015, 2017-2019"
"Chainsaw Homicide","Brutal Death Metal","Colfax, Illinois","N/A"
"Chainsaw Torture","Brutal Death Metal/Goregrind","Tupelo, Mississippi","2014-Present"
"Chainsawdomy","Thrash Metal","Lincolnton, North Carolina","2008-2012"
"Chainsmoker","Sludge/Doom Metal","Hobart, Indiana","2013-2018 (as Chainsmoker), 2018-? (as Hemperor)"
"Chaka","Heavy/Doom Metal","New York, New York","N/A"
"Chakalisimos del Ritmo","Thrash Metal/Crossover","McClean, Viginia (early); Santiago, Chile (later)","2003-?"
"Chalace","Heavy Metal","San Diego, California","N/A"
"Chalice","Heavy Metal","Laurence Harbor, New Jersey","1984-1985 (as Sacrifice), 1985-?"
"Chalice","Heavy Metal/Hard Rock","Cincinnati, Ohio","N/A"
"Chalice","Metalcore/Melodic Death Metal","Florida","N/A"
"Chalice","Heavy/Doom Metal","Montpelier, Vermont","2012-Present"
"Chalice Dungeon","Black/Death Metal","Layton, Utah","N/A"
"Chalice of Suffering","Funeral Doom Metal","Minneapolis, Minnesota","2015-Present"
"Chalice of Thorns","Black/Gothic Metal","California","N/A"
"Chalyss","Heavy/Thrash Metal","Massachusetts","N/A"
"Chamber","Power/Thrash/Groove Metal","Philadelphia, Pennsylvania","1996-Present"
"Chamber of Dreams","Heavy/Thrash Metal","Miami, Florida","2002-Present"
"Chamber of Worms","Sludge/Doom Metal","Madison, Wisconsin","N/A"
"Chamber Seven","Industrial/Heavy/Thrash Metal","Sunnyvale, California","1997-Present"
"Chambers of Disdain","Doom/Death Metal","Beckley, West Virginia","N/A"
"Changeling","Atmospheric Black Metal","Minneapolis, Minnesota","2017-Present"
"Changeörder","Stoner/Doom Metal","Jersey City, New Jersey","2017-Present"
"Channel the Animal","Progressive/Death/Thrash Metal","Indianapolis, Indiana","2014-Present"
"Channeling Darkness","Electronic Deathcore","Lordsburg, California","2006-?"
"Chant of Aggress","Experimental Death/Black/Thrash Metal","Canton, Ohio","N/A"
"Chaos","Thrash Metal","Tampa, Florida","?-? (as Last Sabbath), 2002-?"
"Chaos","Technical Speed/Power Metal","Moscow, Idaho (early); Seattle, Washington (later)","1983-1992, 1992-? (as Scatter Creek)"
"Chaos","Groove Metal","La Porte, Indiana","1997-?, ?-? (as Scarred From Within)"
"Chaos","Thrash Metal","Islip (Long Island), New York","N/A"
"Chaos","Death/Thrash Metal","Detroit, Michigan","N/A"
"Chaos Aeon","Symphonic Black/Death Metal","New Orleans, Louisiana","N/A"
"Chaos and Clockwork","Progressive Metal/Rock","Apex, North Carolina","N/A"
"Chaos Architect","Black Metal","Norwich, Connecticut","2009-2011"
"Chaos Ascending","Symphonic Black Metal","Tucson, Arizona","2010-2013"
"Chaos Blade","Melodic Heavy Metal","Palmdale, California","2004-Present"
"Chaos Brigade","Deathcore/Melodic Death Metal","Paterson, New Jersey","2017-Present"
"Chaos Cross","Thrash Metal/Crossover/Hardcore","Boston, Massachusetts","N/A"
"Chaos Dimension","Technical Death/Groove Metal","Corona, California","N/A"
"Chaos Effect","Thrash/Death Metal","Espanola, New Mexico","N/A"
"Chaos Foundry","Groove Metal","Delton, Michigan","2008-Present"
"Chaos Frame","Progressive Metal","Saint Paul, Minnesota","2010-Present"
"Chaos Horde","Thrash Metal","Baton Rouge, Louisiana","1985-1985 (as Beat Burn And Kill), 1985-1985 (as Bastard Child), 1985-1985 (as Reagan's Bastard Children), 1985-1985 (as Mind Hat), 1985-1986 (as Mad Monk)"
"Chaos Incarnate","Death/Thrash Metal","San Francisco, California","N/A"
"Chaos Inception","Death Metal","Huntsville, Alabama","2008-Present"
"Chaos Lords","Gothic/Thrash Metal","St. Cloud, Minnesota","1993-?"
"Chaos Machine","Progressive Death Metal","Old Town, Maine","2010-Present"
"Chaos Moon","Black/Funeral Doom Metal (early); Black Metal (later)","Nashville, Tennessee (early); Philadelphia, Pennsylvania (later)","2004-2011, 2011-2012, 2013-Present"
"Chaos Reborn","Death Metal","St. Louis, Missouri","N/A"
"Chaos Reigns","Thrash Metal","Youngstown, Ohio","N/A"
"Chaos Ritual","Groove/Thrash Metal","Cincinnati, Ohio","N/A"
"Chaos Sanctuary","Technical Death Metal","New Jersey","N/A"
"Chaos Sculptor","Black/Death Metal","New Orleans, Louisiana","N/A"
"Chaos Symphony","Brutal Death Metal","Huntsville, Alabama (early); Tampa, Florida (later)","1996-?"
"Chaos Theory","Groove Metal/Hardcore","Bordentown, New Jersey","1995-?"
"Chaos Theory","Melodic Thrash Metal","Hertford, North Carolina","2002-?"
"Chaos Warband","Thrash Metal","Minneapolis, Minnesota","N/A"
"Chaosadist","Death/Black Metal, Noise","Washington","N/A"
"Chaosego","Death Metal/Grindcore","Spartanburg, South Carolina","1998-Present"
"Chaosmic","Progressive Stoner Metal","Raleigh, North Carolina","2011-Present"
"Chaosmongers","Thrash Metal","Detroit, Michigan","2002-?"
"Chaosophy","Black Metal","Madison, Wisconsin","2012-Present"
"Chaosphere","Power/Thrash Metal",,"N/A"
"Chaostrophe","Death Metal","St. Cloud, Minnesota","2008-Present"
"Chaotic","Thrash Metal",,"N/A"
"Chaotic Culture","Melodic Death/Thrash Metal","Inland Empire, California","1997-?"
"Chaotic Demise","Thrash Metal","Fort Myers, Florida","N/A"
"Chaotic Embolism","Brutal Death Metal","Owosso, Michigan","N/A"
"Chaotic End","Technical Brutal Death Metal","Gunnison, Colorado","2004-2018, 2018-? (as Prophecy of Suffering)"
"Chaotic End","Blackened Brutal Death Metal","San Antonio, Texas","2009-Present"
"Chaotic Entity","Thrash/Death Metal","Grafton, North Dakota","2018-Present"
"Chaotic Evil","Thrash Metal/Crossover","Bakersfield, California","?-? (as Premonition), ?-? (as Molloscum Contagious)"
"Chaotic Injustice","Thrash Metal","Portland, Oregon","N/A"
"Chaotic Noise","Thrash Metal/Crossover","Venice, California","1983-1985, 1985-1998 (as Excel), 2012-? (as Excel)"
"Chaotic Order","Power Metal","San Diego, California","1996-?"
"Chaotic Order","Heavy/Groove/Doom Metal","Cincinnati, Ohio","1990-1994"
"Chaotic Pandemonium","Raw Black Metal",,"N/A"
"Chaotic Plague","Death/Thrash Metal/Crossover","Pittsburgh, Pennsylvania","1984-1988 (as Arc Angel), 1988-1989 (as Stagedeath), 1989-1990 (as Chaotic Plague), 1990-? (as Chaotic Tranquility)"
"Chaotic Realm","Death/Thrash Metal","Hamburg, New Jersey","1989-1998, 2009-Present"
"Chaotic Realm","Thrash Metal","Chicago, Illinois","N/A"
"Chaotic Tranquility","Thrash Metal/Crossover","Pittsburgh, Pennsylvania","1984-1988 (as Arc Angel), 1988-1988 (as Stagedeath), 1988-1990 (as Chaotic Plague), 1990-? (as Chaotic Tranquility)"
"Chapel of Lucifer","Black Metal",,"2004-?"
"Chapel of Ruin","Death Metal","Pamplin, Virginia","2010-2015"
"Chapel of the Eye","Doom Metal","Wichita, Kansas","N/A"
"Chapelblaque","Gothic Metal","Baltimore, Maryland","N/A"
"Chäpels","Sludge Metal/Crust Punk","Portland, Maine","2018-Present"
"Chapels of Gore","Black Metal","Texas","2020-Present"
"Chapstik","Thrash/Stoner Metal","San Antonio, Texas / Detroit, Michigan","1997-2011"
"Chapter","Technical Metalcore","Pittsburgh, Pennsylvania","1995-1997, 1997-2002 (as Creation Is Crucifixion)"
"Chapter IV","Thrash/Speed Metal","Nashua, New Hampshire","1989-1991, 1991-? (as Chiefsuckface)"
"Chapter VII","Thrash Metal","Alta Loma, California","N/A"
"Chapter XII","Heavy/Thrash Metal","Pittsburgh, Pennsylvania","1997-2000 (as Laughing Sam), 1997-Present, 2000-2002 (as Parable)"
"Char","Black Metal","Vancouver, Washington","2008-Present"
"Character","Heavy/Power Metal","Cincinnati, Ohio","1984-1985 (as Salem), 1988-1988, 1991-?"
"Charakter","Black/Folk Metal","Broken Arrow, Oklahoma","N/A"
"Charcuterie","Goregrind","Philadelphia, Pennsylvania","2019-Present"
"Charger","Heavy/Speed Metal/Punk","Oakland, California","N/A"
"Chariot","Heavy Metal/Hard Rock",,"N/A"
"Chariot ov Wolves","Raw Black Metal","Youngstown, Ohio","N/A"
"Chariots of Fire","Black Metal","Portland, Oregon","N/A"
"Charles Dexter Ward","Stoner Metal/Rock","Mobile, Alabama","N/A"
"Charlie Christ","Death Metal","Los Osos, California","1993-?"
"Charlotte's Webb","Thrash/Groove Metal/Crossover","Bowling Green, Ohio","1991-1993"
"Charnal","Black/Death Metal","Fort Smith, Arkansas","2008-Present"
"Charnel Abyss","Thrash Metal","Trevor, Kenosha, Wisconsin","2003-? (as Eternal Doom), ?-?"
"Charnel Grounds","Technical Death Metal","Florida","N/A"
"Charnel House","Thrash/Death Metal","Bellerose (Long Island), New York","1989-?"
"Charnel Valley","Black Metal",,"2005-Present"
"Charon Kruk","Black/Death Metal","Denver, Colorado","2018-2019 (as Kruk), 2019-Present"
"Charonyx","Heavy/Thrash Metal","Indianapolis, Indiana","2014-2015 (as Wraith), 2015-Present (as Charonyx)"
"Charred","Death/Thrash Metal","Deerfield Beach, Florida","2016-Present"
"Charred Hanging Victim","Raw Black Metal/Noise",,"N/A"
"Charred Walls of the Damned","Power/Thrash Metal","Long Island, New York","2009-Present"
"Chased Through the Woods","Death/Thrash Metal","Anchorage, Alaska","2007-2011"
"Chasm","Thrash/Groove Metal","Chicago, Illinois","N/A"
"Chasm","Stoner Metal","Kansas City, Missouri","2015-2018, 2019-2019 (as Chasm II)"
"Chasm of Nis","Death Metal","Atlanta, Georgia","2012-?"
"Chasma","Black Metal","Portland, Oregon","2008-?"
"Chasmal Mire","Black Metal","Fort McCoy, Florida","N/A"
"Chasmlurk","Black Metal","Salt Lake City, Utah","2016-Present"
"Chasms","Death/Doom Metal","Pennsylvania","N/A"
"Chastain","Heavy/Power Metal","Cincinnati, Ohio","1984-Present"
"Chastaine","Progressive/Black Metal","Alamogordo, California","2005-?"
"Château","Black/Heavy Metal","Raleigh, North Carolina","2014-2017"
"Chattbox","Heavy Metal","Greenfield, Massachusetts","2004-?"
"Chaz Hook","Progressive Groove/Death Metal","Dearborn, Michigan","2020-Present"
"Cheap Gas","Black Metal/Grindcore","Dayton, Ohio","2020-Present"
"Cheap Porno Flick","Grindcore/Death Metal","Omaha, Nebraska","N/A"
"Cheat 2 Win","Heavy Metal/Punk","Syracuse, New York","N/A"
"Cheater","Melodic Heavy Metal","Tri-Cities, Washington","N/A"
"Cheerleader Concubine","Slam/Brutal Death Metal/Grindcore","Lexington, North Carolina","2007-2009, 2014-Present"
"Cheese Grater Masturbation","Brutal Death Metal/Grindcore","San Antonio, Texas","2013-Present"
"Cheldrid","Black Metal","Los Angeles, California","N/A"
"Chelicerae","Progressive Black Metal","Olympia, Washington","2013-Present"
"Chelios","Grindcore","Los Angeles, California","N/A"
"Chelseigh","Doom/Sludge Metal","Buffalo, New York","2018-Present"
"Chemakill","Thrash Metal/Crossover","Eugene, Oregon","N/A"
"Chemi-Kill","Thrash Metal","Van Nuys, California","2008-2013"
"Chemi-Kill","Thrash Metal","Denver, Colorado","N/A"
"Chemic","Thrash Metal, Grindcore","Los Angeles, California","2012-Present"
"Chemical Annihilation","Thrash Metal","Portland, Oregon","1988-?, 2017-Present"
"Chemical Burn","Thrash/Power/Groove Metal","San Jose, California (early); Los Angeles, California (later)","2001-Present"
"Chemical Castration","Blackened Death Metal/Grindcore","Everett, Washington","2011-Present"
"Chemical God","Sludge/Stoner/Doom Metal","Philadelphia, Pennsylvania","N/A"
"Chemical Nightmare","Thrash/Death Metal","Hillside, New Jersey","N/A"
"Chemical Rage","Groove/Heavy Metal","Portland, Oregon","2013-Present"
"Chemical Reign","Blackened Death/Thrash Metal","Anderson, California","2012-2013, 2013-? (as Bestial Destruktion)"
"Chemical Straightjacket","Thrash Metal","Bay Area, California","1990-1994"
"Chemical Warfare","Thrash Metal","San Antonio, Texas","N/A"
"Chemical Warfare","Thrash/Speed Metal","Long Island, New York","?-1988, 1988-1993 (as Trauma)"
"Chemical Waste","Crossover/Thrash Metal","Fort Lee, New Jersey","N/A"
"Chemicals of Democracy","Heavy Metal/Hard Rock","Phoenix, Arizona","2007-Present"
"Chemicaust","Death/Thrash Metal","Dallas, Texas","2013-Present"
"Chemikill","Thrash Metal","Baltimore, Maryland","1988-1994"
"Chemikill","Speed/Power Metal","Cleveland, Ohio","1988-1990, 2007-2010, 2016-Present"
"Chemikilled","Power/Thrash Metal","Cleveland, Ohio","N/A"
"ChemiKiller","Thrash/Speed Metal","Newark, Delaware (early); New Jersey (later)","1999-2009"
"Cherished Wounds","Black Metal","Minneapolis, Minnesota","N/A"
"Chernobog","Black Metal","California / Florida","2000-2001 (as Enbilulugugal), 2001-2001 (as Chernobog), 2001-? (as Enbilulugugal)"
"Chernobyl Weenie Roast","Deathcore","Lancaster, California","N/A"
"Cherokee","Heavy/Thrash Metal","Lowell, Massachusetts","2014-2020, 2020-? (as Belligerator)"
"Cherry Wench","Heavy Metal","Kansas City, Missouri","1989-1991"
"Cherubin","Experimental Sludge Metal","Ogden, Utah","2007-Present"
"Cheryl Alexander","Heavy Metal","Raleigh, North Carolina","N/A"
"Cheshire","Heavy Metal","Austin, Texas","N/A"
"Cheshire Black","Symphonic Death Metal","Colorado","2019-Present"
"Chest Rockwell","Indie Rock, Progressive Rock (early); Progressive Metal (later)","Bowling Green, Kentucky","2004-Present"
"Chewing Teeth","Death Metal/Grindcore","Madison, Wisconsin","2015-2016 (as Birth Defect), 2016-Present"
"Chiaroscuro","Progressive Metal","Seattle, Washington","1984-?"
"Chicago Thrash Ensemble","Thrash Metal/Crossover","Chicago, Illinois","?-2015"
"Chidied","Death/Thrash/Groove Metal","Dallas, Texas","2003-2008"
"Chief Wiggum","Melodic Death Metal","DeLand, Florida","2011-Present"
"Child of Fire","Heavy Metal","Pittsburgh, Pennsylvania","N/A"
"Child Saint","Power/Doom Metal","Orange County, California","1984-Present"
"Childhood's End","Heavy Metal","Santa Rosa, California","N/A"
"Children","Progressive Thrash Metal","New York, New York","2006-?"
"Children of Aries","Heavy/Thrash Metal","Winston County, Mississippi","2011-Present"
"Children of Dismay","Thrash Metal/Metalcore","Fox Lake, Illinois","2007-Present"
"Children of Nar","Heavy Metal/Hard Rock","Narberth, Pennsylvania","1985-?"
"Children of Seraph","Power Metal","Seattle, Washington","2013-?"
"Children of the New Sun","Heavy/Power Metal","Rochester, New York","2007-Present"
"Children of the Phantom","Industrial Doom Metal","Moraga, California","2020-Present"
"Children of the Reptile","Heavy Metal","Wilmington, North Carolina","2008-2008, 2009-Present"
"Children of Wrath","Symphonic Black/Death Metal","Phoenix, Arizona","N/A"
"Childz Play","Heavy Metal","Boise, Idaho (1982-1988) / Los Angeles, California (1988-1989) / Seattle, Washington (1989-1993)","1982-1993"
"Chilling Vision","Power/Thrash Metal","Altoona, Pennsylvania","1986-? (as Giornesto), ?-?"
"Chillum","Stoner/Sludge Metal","Rochester, New York","2010-?"
"Chimaira","Groove/Nu-Metal/Metalcore","Cleveland, Ohio","1998-2014, 2017-2017"
"Chimpgrinder","Stoner/Doom/Sludge Metal","Philadelphia, Pennsylvania","2011-Present"
"China Girl","Experimental Black/Death/Thrash Metal","Los Angeles, California","N/A"
"China White","Heavy Metal","Albany, New York","1982-?, 2019-2019"
"China White","Heavy Metal","Toledo, Ohio","1984-1989"
"China White","Heavy Metal","Cincinnati, Ohio","1987-1991"
"China White","Heavy Metal","Greensboro, North Carolina","N/A"
"Chinga!","Thrash Metal/Grindcore","Lehigh Valley, Pennsylvania","2009-Present"
"Chingalera","Progressive/Thrash/Doom Metal","Los Angeles, California","2006-?"
"Chingaso","Stoner/Southern Metal/Rock","Denver, Colorado","N/A"
"Chironex","Progressive Death Metal","Houston, Texas","2008-2011 (as Crotalus), 2011-?"
"Chiroptera","Metalcore/Groove Metal","Tampa, Florida","2000-Present"
"Chlamydia Jizz","Brutal Death Metal/Goregrind","Illinois / Iowa","2016-Present"
"Chloranthy","Black Metal",,"2020-Present"
"Chloroma","Brutal Death Metal","California","N/A"
"Chogori","Black Metal","Virginia","2020-Present"
"Choice to Make","Crossover/Thrash Metal","Scranton/Wilkes-Barre, Pennsylvania","N/A"
"ChoiceFatal","Groove Metal, Hard Rock","Tri-Cities, Washington","2003-Present"
"Choir of Carnage","Death/Thrash Metal","Oakland, California","2006-?"
"Choirs of the Void","Thrash Metal","Hutchinson, Kansas","1988-1992 (as Epitaph), 2016-2021 (as Epitaph), 2021-Present"
"Choke","Southern/Sludge/Groove Metal","Lake Charles, Louisiana","1994-Present"
"Choke","Death Metal/Crossover","Cleveland, Ohio","1992-1993, 1993-1997 (as Hemdale), 2013-? (as Hemdale)"
"Choke","Death Metal/Grindcore","Cleveland, Ohio","1993-1994"
"Choke Chain","Death Metal","Richmond, Virginia","N/A"
"Choke Hold Grip","Death/Thrash Metal","Nebraska / Kansas","N/A"
"Choke Me","Grindcore","Los Angeles, California","2020-Present"
"Chokeout","Hardcore/Groove Metal","Yakima, Washington","2006-Present"
"Choker","Thrash/Groove Metal","Bellingham, Washington","N/A"
"Choker","Death/Doom Metal/Powerviolence","Rockaway, New Jersey","?-2020"
"Chokesetter","Stoner Metal/Rock","South Bend, Indiana","N/A"
"Chokeslam","Groove Metal","Chattanooga, Tennessee","1997-Present"
"Choking","Blackened Sludge Metal","Dayton, Ohio","2015-Present"
"Choking on Entrails","Death Metal/Grindcore","Lake Stevens, Washington","N/A"
"Choking Sands","Hardcore/Grindcore","Washington, D.C.","N/A"
"Cholera","Deathcore","Cleveland, Ohio","2006-2014, 2014-Present"
"Cholëra","Death Metal","Copley, Ohio","N/A"
"Cholernik","Progressive Black Metal","Milwaukee, Wisconsin","?-Present (as Jesus AntiChrist), 2004-Present"
"Cholia","Depressive Black Metal","Texas","2019-Present"
"Cholos on Acid","Crossover/Thrash/Groove Metal","West Hills, California","1986-1993, 2011-Present"
"Chomo Eradicator","Death Metal/Grindcore","Wheeling, Illinois","2019-Present"
"Choose Death","Gothic Metal","Detroit, Michigan","N/A"
"Choose to Suffer","Black/Thrash Metal/Hardcore","Roanoke, Virginia","2018-Present"
"Choose Your Weapon","Thrash Metal/Metalcore","New Bern, North Carolina","N/A"
"Chopped","Stoner/Sludge Metal","Kenosha, Wisconsin","N/A"
"Chopping Mall","Death Metal/Grindcore","Milwaukee, Wisconsin","N/A"
"Choronzon","Blackened Industrial Metal","Winter Park, Florida","1986-Present"
"Chorosphere","Symphonic Metal","Jacksonville, Florida","N/A"
"Chosen by Force","Progressive Heavy Metal","Corpus Christi, Texas","2004-Present"
"Chowder","Progressive/Doom Metal","Baltimore, Maryland","1992-?"
"Chozzen Phate","Progressive Power Metal","San Antonio, Texas","1989-?"
"Chrch","Doom/Sludge Metal","Sacramento, California","2013-2015 (as Church), 2015-Present"
